Cheval_clean;Poids_groupe;Cheval;Valeur_poids;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
VITUSBERING;560;VITUS BERING;560;2;0;1;5.0;0.0;50.0
VITUSBERING;564;VITUS BERING;564;1;0;0;7.0;0.0;0.0
VITUSBERING;580;VITUS BERING;580;2;1;1;3.5;50.0;50.0
VITUSBERING;584;VITUS BERING;584;1;0;0;6.0;0.0;0.0
VIVABOSS;520;VIVA BOSS;520;1;0;0;7.0;0.0;0.0
VIVABOSS;530;VIVA BOSS;530;1;0;0;4.0;0.0;0.0
VIVABOSS;550;VIVA BOSS;550;1;0;0;11.0;0.0;0.0
VIVABOSS;554;VIVA BOSS;554;1;0;0;12.0;0.0;0.0
VIVABOSS;564;VIVA BOSS;564;1;0;0;6.0;0.0;0.0
VIVABOSS;600;VIVA BOSS;600;1;0;0;12.0;0.0;0.0
VIVACHALEUR;534;VIVA CHALEUR;534;1;1;1;1.0;100.0;100.0
VIVACHALEUR;560;VIVA CHALEUR;560;1;0;0;5.0;0.0;0.0
VIVACHALEUR;570;VIVA CHALEUR;570;1;0;1;2.0;0.0;100.0
VIVACHALEUR;580;VIVA CHALEUR;580;1;0;1;3.0;0.0;100.0
VIVACIOUSWIN;534;VIVACIOUS WIN;534;1;0;1;2.0;0.0;100.0
VIVACIOUSWIN;544;VIVACIOUS WIN;544;1;0;1;2.0;0.0;100.0
VIVACIOUSWIN;550;VIVACIOUS WIN;550;3;1;2;2.3333333333333335;33.3;66.7
VIVACIOUSWIN;554;VIVACIOUS WIN;554;1;0;0;5.0;0.0;0.0
VIVACIOUSWIN;594;VIVACIOUS WIN;594;1;0;1;3.0;0.0;100.0
VIVAFIRECRACKER;520;VIVA FIRECRACKER;520;1;1;1;1.0;100.0;100.0
VIVAFIRECRACKER;530;VIVA FIRECRACKER;530;1;0;1;3.0;0.0;100.0
VIVAFIRECRACKER;534;VIVA FIRECRACKER;534;1;0;0;6.0;0.0;0.0
VIVAFIRECRACKER;544;VIVA FIRECRACKER;544;1;0;0;7.0;0.0;0.0
VIVAFIRECRACKER;550;VIVA FIRECRACKER;550;1;0;0;5.0;0.0;0.0
VIVAGRACIOUSNESS;550;VIVA GRACIOUSNESS;550;3;0;0;6.0;0.0;0.0
VIVAGRACIOUSNESS;554;VIVA GRACIOUSNESS;554;1;0;0;9.0;0.0;0.0
VIVAGRACIOUSNESS;560;VIVA GRACIOUSNESS;560;2;0;1;5.5;0.0;50.0
